Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Ground,Sum of Fatalities (air),Sum of Aboard
1928,Qtr 2,June,22,Kansas,Douglas,Douglas M 4NC1059,Lebo Kansas,Transport Air National,0,1,1
1938,Qtr 1,March,1,Cailifornia,Douglas,Douglas DC 2,Near Wawona Cailifornia,Air Western and Continental Trans,0,9,9
1938,Qtr 3,August,10,Japan,Douglas,Douglas DF 151J,Shishijima Japan,Nippon Dai,0,6,6
1939,Qtr 1,March,26,Oklahoma,Douglas,Douglas DC 2,Oklahoma City Oklahoma,Airlines Braniff,0,8,12
1943,Qtr 1,January,15,Dutch,Douglas,Douglas C 54A42,Near Paramarino Dutch,Forces Air Army U.S. - GuyanaMilitary,0,35,35
1943,Qtr 3,July,28,Kentucky,Douglas,Douglas DC 3NC16014,Trammel Kentucky,Airlines American,0,20,22
1945,Qtr 1,March,27,off,Douglas,Douglas C 47A,Coral Sea off,Force Air U.S. - AustraliaMilitary,0,24,24
1945,Qtr 2,May,30,Ivory,Douglas,Douglas C 47B,Off Drewin Ivory,Forces Air Army U.S. - CoastMilitary,0,21,21
1945,Qtr 4,October,20,Atlantic,Douglas,Douglas C 47BA65,Timor Sea Atlantic,Force Air Australian Royal - OceanMilitary,0,25,25
1945,Qtr 4,October,24,Malta,Douglas,Douglas C 47 Skytrain (DC,Valetta Malta,BOAC,0,9,16
1945,Qtr 4,November,13,Philippines,Douglas,Douglas C 48VH,Near Tacloban Philippines,Airways National Australian,0,16,17
1946,Qtr 1,January,6,Alabama,Douglas,Douglas DC 3N21786,Birmingham Alabama,Airlines Central Pennsylvania,0,3,11
1946,Qtr 2,April,30,'-,Douglas,Douglas C 47A FZ559,Pindi-Khut  -,Force Air Royal,0,12,12
1946,Qtr 2,June,9,Nigeria,Douglas,Douglas C 47 DakotaKG747,Near Abeokuta Nigeria,Force Air -Royal Military,0,18,18
1946,Qtr 4,November,26,Costa,Douglas,Douglas DC 3 (C,San Jose Costa,LACSA  Costarricenses Aéreas RicaLineas,0,22,22
1947,Qtr 1,February,5,Delaware,Douglas,Douglas DC 3NC54451,Harrington Delaware,Freight Air International,0,1,3
1947,Qtr 1,February,26,Pacific,Douglas,Douglas C 47BKK120,China Sea Pacific,Force Air Royal - OceanMilitary,0,12,12
1947,Qtr 2,April,8,Venezuela,Douglas,Douglas C 47AYV,Near Caracas Venezuela,Venezolana Aeropostal Linea,0,27,27
1947,Qtr 2,May,29,Iceland,Douglas,Douglas DC 3TF,Hjedinsfjordur Iceland,Flugefelag,0,25,25
1947,Qtr 2,May,29,Queens,Douglas,Douglas C 54BNC30046,La Guardia Airport Queens,New York United Air Lines,0,43,48
1947,Qtr 4,December,10,Labrador,Douglas,Douglas C 54D,Near Goose Bay Labrador,Force Air U.S. - Military,0,23,29
1948,Qtr 1,January,11,Dominican,Douglas,Douglas DC 3HI,Ciudad Havajillo Dominican,RepublicDominicana,0,32,32
1948,Qtr 1,March,2,London,Douglas,Douglas DC 3OO,Heathrow Airport London,England Sabena,0,20,22
1948,Qtr 2,May,13,Belgian,Douglas,Douglas DC 4,Near Magazini Belgian,(Zaire)Sabena Congo,0,31,32
1948,Qtr 3,July,4,Middlesex,Douglas,Douglas DC 6 / RAF YorkSE,Northolt Middlesex,England Scandinavian Airlines (SAS),0,39,39
1948,Qtr 4,December,21,Hong,Douglas,Douglas C 54B,Basalt Island Hong,Corporation Aviation National KongChina,0,33,33
1949,Qtr 1,February,19,Warks,Douglas,Douglas DC 3 / Avro AnsonG,Near Coventry Warks,England British European Airways / Military - British,0,14,14
1949,Qtr 3,August,9,Oman,Douglas,Douglas C 47BKN336,Salalah Oman,Force Air Royal - Military,0,12,12
1949,Qtr 3,August,27,Zaire,Douglas,Douglas C 47B,Leopoldville Zaire,Sabena,0,5,20
1949,Qtr 3,September,9,PQ,Douglas,Douglas DC 3CF,Sault-aux-Cochons PQ,Canada Canadian Pacific Air Lines,0,23,23
1949,Qtr 4,December,12,D.C.Capital,Douglas,Douglas DC 3,Washington D.C.Capital,Airlines,0,6,23
1950,Qtr 1,January,24,Air,Douglas,Douglas DC 3PI,Iloilo Air,Lines,0,4,4
1950,Qtr 1,January,26,Yukon,Douglas,Douglas C 54D,Near Snag Yukon,Force Air U.S. - TerritoryMilitary,0,44,44
1950,Qtr 1,March,25,Turkey,Douglas,Douglas DC 3TC,Ankara Turkey,Yollairi Hava Devlet,0,15,15
1950,Qtr 2,June,23,18,Douglas,Douglas DC 4N95425,Lake Michigan 18,Michigan       Harbor Benton of NNW Northwest Orient Airlines,0,58,58
1950,Qtr 3,July,18,Angola,Douglas,Douglas DC 3CR,Near Bocoio Angola,Airlines Angola DTA,0,9,9
1950,Qtr 3,September,20,Marshall,Douglas,Douglas R5D 356496,Kwajalein Marshall,Navy U.S. - IslandsMilitary,0,26,26
1950,Qtr 4,November,25,Bhutan,Douglas,Douglas C 47AVT,Khitka Bhutan,Indamer,0,3,3
1951,Qtr 1,January,13,Besar,Douglas,Douglas DC 3VR,Mt. Bukit Besar,Thailand Air Carriers,0,10,10
1951,Qtr 1,February,3,Buea,Douglas,Douglas DC 4F,Near Mt. Cameroon Buea,British Cameroons Air France,0,29,29
1951,Qtr 4,October,27,Guatemala,Douglas,Douglas C 47FAGO961,Near Flores Guatemala,Force Air Guatemalan - Military,0,27,29
1952,Qtr 4,November,6,Chad,Douglas,Douglas C 54B,Lake Chad Chad,Transport de Aeromaritime Union,0,5,6
1952,Qtr 4,December,6,Bermuda,Douglas,Douglas DC 4CU,Off Bermuda-Kindley Field Bermuda,Aviacion de Cubana,0,37,41
1953,Qtr 1,January,26,Sardinia,Douglas,Douglas DC 3I,Sinnai Sardinia,Italy Linee Aeree Italiane,0,19,19
1953,Qtr 2,June,18,Tokyo,Douglas,Douglas C 124A Globemaster II51,Tachikawa AFB Tokyo,Japan Military - U.S. Air Force,0,129,129
